2025-09-16 14:33:47,576 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9971.40
2025-09-16 14:33:47,580 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17159 on 2025-07-09 22:00:00 (SL: 1.17109, TP: 1.17259)
2025-09-16 14:33:47,597 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9979.40
2025-09-16 14:33:47,616 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17316 on 2025-07-10 07:15:00 (SL: 1.17366, TP: 1.17216)
2025-09-16 14:33:47,620 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9972.40
2025-09-16 14:33:47,627 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17326 on 2025-07-10 10:15:00 (SL: 1.17276, TP: 1.17426)
2025-09-16 14:33:47,628 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9965.40
2025-09-16 14:33:47,630 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17326 on 2025-07-10 10:45:00 (SL: 1.17376, TP: 1.17226)
2025-09-16 14:33:47,642 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9973.40
2025-09-16 14:33:47,669 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16917 on 2025-07-10 21:15:00 (SL: 1.16867, TP: 1.17017)
2025-09-16 14:33:47,682 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9981.40
2025-09-16 14:33:47,694 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16742 on 2025-07-11 03:45:00 (SL: 1.16792, TP: 1.16642)
2025-09-16 14:33:47,698 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9974.40
2025-09-16 14:33:47,711 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.168 on 2025-07-11 08:15:00 (SL: 1.16750, TP: 1.16900)
